original_comments,tokenized_comments,clean_text
serum က ဘာအတွက်ကောင်းလဲရှင့် အဲ့ series လိုက်သုံးနေတာပါ serum လေး tryချင်လို့ oily skin ရောအဆင်ပြေလားမသိဘူး,"['serum', 'က', 'ဘာ', 'အတွက်', 'ကောင်း', 'လဲ', 'ရှင့်', 'အဲ့', 'series', 'လိုက်', 'သုံး', 'နေ', 'တာ', 'ပါ', 'serum', 'လေး', 'try', 'ချင်', 'လို့', 'oily', 'skin', 'ရော', 'အဆင်ပြေ', 'လား', 'မ', 'သိ', 'ဘူး']","['serum', 'ကောင်း', 'အဲ့', 'series', 'သုံး', 'serum', 'try', 'လို့', 'oily', 'skin', 'ရော', 'အဆင်ပြေ', 'မ', 'သိ']"
GG serum ကdry skinနဲ့အဆင်ပြေလောက်လားရှင့်,"['GGserumကdryskin', 'နဲ့', 'အဆင်ပြေ', 'လောက်', 'လား', 'ရှင့်']","['GGserum', 'dryskin', 'အဆင်ပြေ', 'လောက်', 'ရှင့်']"
Graymelin mugwort secrum သုံးနေတာပါ အရမ်းကြိုက် အဆီဖုလည်းတော်တော်လေးပါးလာ,"['Gray', 'melinmugwortsecrum', 'သုံး', 'နေ', 'တာ', 'ပါ', 'အရမ်း', 'ကြိုက်', 'အဆီဖု', 'လည်း', 'တော်တော်', 'လေး', 'ပါး', 'လာ']","['Gray', 'melinmugwortsecrum', 'သုံး', 'ကြိုက်', 'အဆီဖု', 'တော်တော်', 'ပါး']"
clay maskသုံးသေးလား ဘာလေးသုံးလဲ,"['clay', 'mask', 'သုံး', 'သေး', 'လား', 'ဘာ', 'လေး', 'သုံး', 'လဲ']","['clay', 'mask', 'သုံး', 'သုံး']"
ကူညီကြပါအုံး toner ကလဲ ကိုယ်သုံးတာလွဲနေတယ် ညွန်းပေးပါအုံး,"['ကူညီ', 'ကြ', 'ပါ', 'အုံး', 'toner', 'က', 'လဲ', 'ကိုယ်', 'သုံး', 'တာ', 'လွဲ', 'နေ', 'တယ်', 'ညွန်', 'း', 'ပေး', 'ပါ', 'အုံး']","['ကူညီ', 'အုံး', 'toner', 'ကိုယ်', 'သုံး', 'လွဲ', 'ညွန်', 'း', 'အုံး']"
Oily to sensitive skin ဆို moisturizer ဘာသုံးရလဲ cetaphil သုံးတာ မတည့်လို့ပါအမည်းဆက်နဲ့အဆီဖုတွေထွက်လာလို့ ဘာသုံးသုံး မတည့်ဘူး အကုန်လုံးက,"['Oilyto', 'sensitive', 'skin', 'ဆို', 'moisturizer', 'ဘာ', 'သုံး', 'ရ', 'လဲ', 'cetaphil', 'သုံး', 'တာ', 'မ', 'တည့်', 'လို့', 'ပါ', 'အမည်း', 'ဆက်', 'နဲ့', 'အဆီဖု', 'တွေ', 'ထွက်', 'လာ', 'လို့', 'ဘာ', 'သုံး', 'သုံး', 'မ', 'တည့်', 'ဘူး', 'အကုန်လုံး', 'က']","['Oilyto', 'sensitive', 'skin', 'moisturizer', 'သုံး', 'cetaphil', 'သုံး', 'မ', 'တည့်', 'လို့', 'အမည်း', 'ဆက်', 'အဆီဖု', 'ထွက်', 'လို့', 'သုံး', 'သုံး', 'မ', 'တည့်', 'အကုန်လုံး']"
Graymelin Serum လေး ပြန်ရောင်းချင်ပါတယ်ရှင့်,"['Graymelin', 'Serum', 'လေး', 'ပြန်', 'ရောင်း', 'ချင်', 'ပါ', 'တယ်', 'ရှင့်']","['Graymelin', 'Serum', 'ရောင်း']"
BOJကလေ miniသုံးတုန်းကတော့ အဆင်ပြေလို့ ဘူးကြီးပြောင်းလိုက်မှ နည်းနည်းပူသလိုဖြစ်လို့လေ ပုံမှန်ဘဲလားမသိဘူး,"['BOJ', 'က', 'လေ', 'mini', 'သုံး', 'တုန်း', 'က', 'တော့', 'အဆင်ပြေ', 'လို့', 'ဘူး', 'ကြီး', 'ပြောင်း', 'လိုက်', 'မှ', 'နည်းနည်း', 'ပူ', 'သလို', 'ဖြစ်', 'လို့', 'လေ', 'ပုံမှန်', 'ဘဲ', 'လား', 'မ', 'သိ', 'ဘူး']","['BOJ', 'mini', 'သုံး', 'တုန်း', 'အဆင်ပြေ', 'လို့', 'ပြောင်း', 'နည်းနည်း', 'ပူ', 'သလို', 'လို့', 'ပုံမှန်', 'ဘဲ', 'မ', 'သိ']"
Tonerကဒီဗူးလေးနဲ့တူတူလား,"['Toner', 'က', 'ဒီ', 'ဗူး', 'လေး', 'နဲ့', 'တူတူ', 'လား']","['Toner', 'ဗူး', 'တူတူ']"
ဒီSkin set လေး ဘယ် pageတွေမှာရလဲ မသိဘူး,"['ဒီ', 'Skinset', 'လေး', 'ဘယ်', 'page', 'တွေ', 'မှာ', 'ရ', 'လဲ', 'မ', 'သိ', 'ဘူး']","['Skinset', 'ဘယ်', 'page', 'မ', 'သိ']"
ဝက်ခြံ အဆီဖု ပေါက်တတ်တဲ့skinဆို ဘာအမျိုးအစားလဲဟင်,"['ဝက်ခြံ', 'အဆီဖု', 'ပေါက်', 'တတ်', 'တဲ့', 'skin', 'ဆို', 'ဘာ', 'အမျိုးအစား', 'လဲ', 'ဟင်']","['ဝက်ခြံ', 'အဆီဖု', 'ပေါက်', 'တတ်', 'skin', 'အမျိုးအစား']"
ဘယ်မှာဝယ်တာလဲရှင့်,"['ဘယ်', 'မှာ', 'ဝယ်', 'တာ', 'လဲ', 'ရှင့်']","['ဘယ်', 'ဝယ်']"
အရမ်းလှနော် မမ,"['အရမ်း', 'လှ', 'နော်', 'မ', 'မ']","['လှ', 'မ', 'မ']"
အရှေ့ဆံပင်လေးကြိုက်လို့ဘယ်လို့ပုံသွင်းတာလဲ sis,"['အရှေ့', 'ဆံပင်', 'လေး', 'ကြိုက်', 'လို့', 'ဘယ်', 'လို့', 'ပုံ', 'သွင်း', 'တာ', 'လဲ', 's', 'is']","['အရှေ့', 'ဆံပင်', 'ကြိုက်', 'လို့', 'ဘယ်', 'လို့', 'ပုံ', 'သွင်း', 's', 'is']"
Trendy C က အမ လား,"['TrendyC', 'က', 'အမ', 'လား']","['TrendyC', 'အမ']"
တကယ်လှတယ် ရုပ်လေးရော လူရော သဘောကျ,"['တကယ်', 'လှ', 'တယ်', 'ရုပ်', 'လေး', 'ရော', 'လူ', 'ရော', 'သဘောကျ']","['တကယ်', 'လှ', 'ရုပ်', 'ရော', 'လူ', 'ရော', 'သဘောကျ']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ပုံသွင်းနည်းလေးပြောပြပါအုံး မခြူး အစ်မပုံလေးပြပီး ညီမတို့မြိူ့မှာဘဲလုပ်လိုက်တာ အဲ့ပုံထွက်မလာဘူး,"['ပုံ', 'သွင်း', 'နည်း', 'လေး', 'ပြော', 'ပြ', 'ပါ', 'အုံး', 'မ', 'ခြူး', 'အစ်မ', 'ပုံ', 'လေး', 'ပြ', 'ပီး', 'ညီ', 'မ', 'တို့', 'မ', 'ြိူ့', 'မှာ', 'ဘဲ', 'လုပ်', 'လိုက်', 'တာ', 'အဲ့', 'ပုံ', 'ထွက်', 'မ', 'လာ', 'ဘူး']","['ပုံ', 'သွင်း', 'နည်း', 'ပြ', 'အုံး', 'မ', 'ခြူး', 'အစ်မ', 'ပုံ', 'ပြ', 'ပီး', 'ညီ', 'မ', 'တို့', 'မ', 'ြိူ့', 'ဘဲ', 'အဲ့', 'ပုံ', 'ထွက်', 'မ']"
ချစ်စရာလေး,"['ချစ်', 'စရာ', 'လေး']","['ချစ်', 'စရာ']"
ဟယ် ကြိုက်လိုက်တာ,"['ဟယ်', 'ကြိုက်', 'လိုက်', 'တာ']",['ကြိုက်']
ချစ်သော,"['ချစ်', 'သော']",['ချစ်']
ဘယ်လောက်ကျလဲပြောပြပေးပါလား,"['ဘယ်လောက်', 'ကျ', 'လဲ', 'ပြော', 'ပြ', 'ပေး', 'ပါ', 'လား']","['ဘယ်လောက်', 'ကျ', 'ပြ']"
Page link pls,"['Page', 'link', 'pls']","['Page', 'link', 'pls']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
Pageလေးရှာမတွေ့လို့ရှင့်,"['Page', 'လေး', 'ရှာ', 'မ', 'တွေ့', 'လို့', 'ရှင့်']","['Page', 'ရှာ', 'မ', 'တွေ့', 'လို့']"
Page link ly pls..ma,"['Page', 'linklypls..ma']","['Page', 'linklyplsma']"
ချောလိုက်တာချစ်စရာလေး,"['ချော', 'လိုက်', 'တာ', 'ချစ်', 'စရာ', 'လေး']","['ချော', 'ချစ်', 'စရာ']"
အဲ့လိုေလးေတာ္ေတာ္သေဘာက်,"['အဲ့လို', 'ေလးေတာ္ေတာ္', 'သေ', 'ဘာ', 'က်']","['အဲ့လို', 'ေလးေတာ္ေတာ္', 'သေ', 'က်']"
ဆံပင်ပါးတဲ့သူနဲ့ဆိုမလိုက်လောက်ဘူးထင်တယ် ဆံလုံးသေးလို့ C perm ကကြာရှည်ခံပါ့မလား,"['ဆံပင်', 'ပါး', 'တဲ့', 'သူ', 'နဲ့', 'ဆို', 'မ', 'လိုက်', 'လောက်', 'ဘူး', 'ထင်', 'တယ်', 'ဆံ', 'လုံး', 'သေး', 'လို့', 'Cperm', 'က', 'ကြာရှည်', 'ခံ', 'ပါ့', 'မ', 'လား']","['ဆံပင်', 'ပါး', 'မ', 'လောက်', 'ထင်', 'ဆံ', 'လုံး', 'လို့', 'Cperm', 'ကြာရှည်', 'ခံ', 'ပါ့', 'မ']"
လုပ်ဖို့စဉ်းစားနေတာ အရင်က အကောက်ပဲအမြဲဖြစ်နေတော့ ပျက်စီးတာအရမ်းပဲ ဘယ်လောက်ပေးရလဲဟင်,"['လုပ်', 'ဖို့', 'စဉ်းစား', 'နေ', 'တာ', 'အရင်', 'က', 'အကောက်', 'ပဲ', 'အမြဲ', 'ဖြစ်', 'နေ', 'တော့', 'ပျက်စီး', 'တာ', 'အရမ်း', 'ပဲ', 'ဘယ်လောက်', 'ပေး', 'ရ', 'လဲ', 'ဟင်']","['စဉ်းစား', 'အရင်', 'အကောက်', 'အမြဲ', 'ပျက်စီး', 'ဘယ်လောက်']"
Stylist ​ရွေးရ​သေးလား မင်ခြူး​ရေ,"['Sty', 'list\u200b', 'ရွေး', 'ရ', '\u200b', 'သေး', 'လား', 'မင်', 'ခြူး', '\u200b', 'ရေ']","['Sty', 'list', 'ရွေး', 'မင်', 'ခြူး']"
Hairven Beauty Studio Page Link လေးပါရှင့်,"['HairvenBeautyStudio', 'Page', 'Link', 'လေး', 'ပါ', 'ရှင့်']","['HairvenBeautyStudio', 'Page', 'Link']"
မဆံပင်ကြည့်ရတာ ထိပ်မှာဗွေပါသလိုဘဲနော် ညီမလဲဗွေပါလို့ရှေ့C permလုပ်ဖို့စဉ်းစားထားလို့ပါ,"['မ', 'ဆံပင်', 'ကြည့်', 'ရ', 'တာ', 'ထိပ်', 'မှာ', 'ဗွေ', 'ပါ', 'သလို', 'ဘဲ', 'နော်', 'ညီ', 'မ', 'လဲ', 'ဗွေ', 'ပါ', 'လို့', 'ရှေ့', 'Cperm', 'လုပ်', 'ဖို့', 'စဉ်းစား', 'ထား', 'လို့', 'ပါ']","['မ', 'ဆံပင်', 'ကြည့်', 'ထိပ်', 'ဗွေ', 'သလို', 'ဘဲ', 'ညီ', 'မ', 'ဗွေ', 'လို့', 'ရှေ့', 'Cperm', 'စဉ်းစား', 'လို့']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
Pag link လေးချပေးပါမမ,"['Paglink', 'လေး', 'ချ', 'ပေး', 'ပါ', 'မ', 'မ']","['Paglink', 'ချ', 'မ', 'မ']"
ဆိုင်လေးရဲ့ Page လေးပါရှင့်,"['ဆိုင်', 'လေး', 'ရဲ့', 'Page', 'လေး', 'ပါ', 'ရှင့်']","['ဆိုင်', 'Page']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
သဘောကျလိုက်တာ,"['သဘောကျ', 'လိုက်', 'တာ']",['သဘောကျ']
ဆံပင်အရှည်ရော လုပ်လို့ရလားဟငါ,"['ဆံပင်', 'အရှည်', 'ရော', 'လုပ်', 'လို့', 'ရ', 'လား', 'ဟ', 'ငါ']","['ဆံပင်', 'အရှည်', 'ရော', 'လို့', 'ဟ', 'ငါ']"
ချစ်စရာလေး မမ,"['ချစ်', 'စရာ', 'လေး', 'မ', 'မ']","['ချစ်', 'စရာ', 'မ', 'မ']"
R+C က တွဲလုပ်လို့ရလားရှင့်,"['R+C', 'က', 'တွဲ', 'လုပ်', 'လို့', 'ရ', 'လား', 'ရှင့်']","['R+C', 'တွဲ', 'လို့', 'ရှင့်']"
အမက အလှလေး,"['အမ', 'က', 'အလှ', 'လေး']","['အမ', 'အလှ']"
Curtain bangsလေးကိုရောC permလုပ်ထားတာလားဟင် ကြိုက်လို့,"['Curtainbangs', 'လေး', 'ကို', 'ရော', 'Cperm', 'လုပ်', 'ထား', 'တာ', 'လား', 'ဟင်', 'ကြိုက်', 'လို့']","['Curtainbangs', 'ရော', 'Cperm', 'ကြိုက်', 'လို့']"
လွရက္လိုက္တာ႐ွင္....,"['လ', 'ွရက္လိုက္တာ႐ွင္.', '...']","['လ', 'ွရက္လိုက္တာ႐ွင္']"
သူများပိုစ့်အောက်မှာ မေးရတာအားတော့နာပါတယ် Mdy မှာစို C perm ဘယ်ဆိုင်ကောင်းလဲရှင့် ညွှန်ပေးကျပါအုံးနော်,"['သူ', 'များ', 'ပိုစ့်', 'အောက်', 'မှာ', 'မေး', 'ရ', 'တာ', 'အား', 'တော့', 'နာ', 'ပါ', 'တယ်', 'Mdy', 'မှာ', 'စို', 'Cperm', 'ဘယ်', 'ဆိုင်', 'ကောင်း', 'လဲ', 'ရှင့်', 'ညွှန်', 'ပေး', 'ကျ', 'ပါ', 'အုံး', 'နော်']","['ပိုစ့်', 'အောက်', 'မေး', 'အား', 'နာ', 'Mdy', 'စို', 'Cperm', 'ဘယ်', 'ဆိုင်', 'ကောင်း', 'ရှင့်', 'ညွှန်', 'ကျ', 'အုံး']"
အခြူးဆံပင်လေးကို သဘောတွေကျနေတာ.. ချွတ်ထားရင်တော့ လုပ်လို့မရလောက်ဘူးထင်တယ်နော်..,"['အ', 'ခြူး', 'ဆံပင်', 'လေး', 'ကို', 'သဘော', 'တွေ', 'ကျ', 'နေ', 'တာ', '..', 'ချွတ်', 'ထား', 'ရင်', 'တော့', 'လုပ်', 'လို့', 'မ', 'ရ', 'လောက်', 'ဘူး', 'ထင်', 'တယ်', 'နော်', '..']","['အ', 'ခြူး', 'ဆံပင်', 'သဘော', 'ကျ', 'ချွတ်', 'လို့', 'မ', 'လောက်', 'ထင်']"
C permဆိုတာဘာလဲဟင်,"['Cperm', 'ဆို', 'တာ', 'ဘာ', 'လဲ', 'ဟင်']",['Cperm']
ချစ်စရာလေး,"['ချစ်', 'စရာ', 'လေး']","['ချစ်', 'စရာ']"
စျေးသိပါရစေရှင့်,"['စျေး', 'သိ', 'ပါ', 'ရ', 'စေ', 'ရှင့်']","['စျေး', 'သိ', 'ရှင့်']"
Price လေးတစ်ချက်လောက်page ကရှာမတွေ့လို့ link လေးတစ်ချက်လောက်ပေးပါလားရှင့်,"['Price', 'လေး', 'တစ်', 'ချက်', 'လောက်', 'page', 'က', 'ရှာ', 'မ', 'တွေ့', 'လို့', 'link', 'လေး', 'တစ်', 'ချက်', 'လောက်', 'ပေး', 'ပါ', 'လား', 'ရှင့်']","['Price', 'ချက်', 'လောက်', 'page', 'ရှာ', 'မ', 'တွေ့', 'လို့', 'link', 'ချက်', 'လောက်', 'ရှင့်']"
လှလိုက်တာ တကယ် တကယ် ကြည့်မ၀ဘူး,"['လှ', 'လိုက်', 'တာ', 'တကယ်', 'တကယ်', 'ကြည့်', 'မ', '၀', 'ဘူး']","['လှ', 'တကယ်', 'တကယ်', 'ကြည့်', 'မ', '၀']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ဆံသားလေးက normal type အရောင်မဆိုးထားပဲ တော်တော်ကျန်းမာနေတာကလဲ,"['ဆံသား', 'လေး', 'က', 'normaltype', 'အရောင်', 'မ', 'ဆိုး', 'ထား', 'ပဲ', 'တော်တော်', 'ကျန်းမာ', 'နေ', 'တာ', 'က', 'လဲ']","['ဆံသား', 'normaltype', 'အရောင်', 'မ', 'ဆိုး', 'တော်တော်', 'ကျန်းမာ']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
Price လေးတစ်ချက်ပြောပြပေးပါရှင့်,"['Price', 'လေး', 'တစ်', 'ချက်', 'ပြော', 'ပြ', 'ပေး', 'ပါ', 'ရှင့်']","['Price', 'ချက်', 'ပြ', 'ရှင့်']"
ဘာပြောတာလဲတော့မသိဘူးချောတာပဲသိတယ်လှလှ,"['ဘာ', 'ပြော', 'တာ', 'လဲ', 'တော့', 'မ', 'သိ', 'ဘူး', 'ချော', 'တာ', 'ပဲ', 'သိ', 'တယ်', 'လှ', 'လှ']","['မ', 'သိ', 'ချော', 'သိ', 'လှ', 'လှ']"
လှတယ်ရော် ကိုယ့်ဆံပင်လည်းမမလောက်ပဲ လုပ်ချင်လို့ဘယ်လောက်ကျလဲဟင်,"['လှ', 'တယ်', 'ရော်', 'ကိုယ့်', 'ဆံပင်', 'လည်း', 'မ', 'မ', 'လောက်', 'ပဲ', 'လုပ်', 'ချင်', 'လို့', 'ဘယ်လောက်', 'ကျ', 'လဲ', 'ဟင်']","['လှ', 'ရော်', 'ကိုယ့်', 'ဆံပင်', 'မ', 'မ', 'လောက်', 'လို့', 'ဘယ်လောက်', 'ကျ']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
လှလိုက်တာ...,"['လှ', 'လိုက်', 'တာ', '...']",['လှ']
အမ live လွှင့်ရင် ဆံပင်လေးသဘောကျလို့ ssရိုက်ထားသေးတယ်,"['အမ', 'live', 'လွှင့်', 'ရင်', 'ဆံပင်', 'လေး', 'သဘောကျ', 'လို့', 'ss', 'ရိုက်', 'ထား', 'သေး', 'တယ်']","['အမ', 'live', 'လွှင့်', 'ဆံပင်', 'သဘောကျ', 'လို့', 'ss', 'ရိုက်']"
Trendy Cက liveလေးတွေကြည့်ရင်းမခြူးပြောပြလို့ သွားလုပ်တာ၃ကြိမ်ရှိပါပြီ ၃ခါလုံးအရမ်းကြိုက်ပါတယ် နောက်လည်း အဲ့ဆိုင်လေးမှာပဲ လုပ်ဖြစ်မှာပါ,"['TrendyC', 'က', 'live', 'လေး', 'တွေ', 'ကြည့်', 'ရင်း', 'မ', 'ခြူး', 'ပြော', 'ပြ', 'လို့', 'သွား', 'လုပ်', 'တာ', '၃', 'ကြိမ်', 'ရှိ', 'ပါ', 'ပြီ', '၃', 'ခါ', 'လုံး', 'အရမ်း', 'ကြိုက်', 'ပါ', 'တယ်', 'နောက်', 'လည်း', 'အဲ့', 'ဆိုင်', 'လေး', 'မှာ', 'ပဲ', 'လုပ်', 'ဖြစ်', 'မှာ', 'ပါ']","['TrendyC', 'live', 'ကြည့်', 'ရင်း', 'မ', 'ခြူး', 'ပြ', 'လို့', '၃', 'ကြိမ်', '၃', 'ခါ', 'လုံး', 'ကြိုက်', 'အဲ့', 'ဆိုင်']"
ကြိုက်လိုက်တာ ညီမလည်းနဂိုဖြောင့်မို့,"['ကြိုက်', 'လိုက်', 'တာ', 'ညီ', 'မ', 'လည်း', 'နဂို', 'ဖြောင့်', 'မို့']","['ကြိုက်', 'ညီ', 'မ', 'နဂို', 'ဖြောင့်', 'မို့']"
c permလုပ်ထားရင် ခေါင်းလျှော်တိုင်း ပုံပြန်သွင်းရသေးတာလား,"['cperm', 'လုပ်', 'ထား', 'ရင်', 'ခေါင်းလျှော်', 'တိုင်း', 'ပုံ', 'ပြန်', 'သွင်း', 'ရ', 'သေး', 'တာ', 'လား']","['cperm', 'ခေါင်းလျှော်', 'တိုင်း', 'ပုံ', 'သွင်း']"
တကယ်လှတာ,"['တကယ်', 'လှ', 'တာ']","['တကယ်', 'လှ']"
သဘောကျလိုက်တာ ဆံပင်လေးရောလူရော,"['သဘောကျ', 'လိုက်', 'တာ', 'ဆံပင်', 'လေး', 'ရော', 'လူ', 'ရော']","['သဘောကျ', 'ဆံပင်', 'ရော', 'လူ', 'ရော']"
ဈေးလေးတစ်ချက်လောက်ပြောပြပေးပါလားမမ,"['ဈေး', 'လေး', 'တစ်', 'ချက်', 'လောက်', 'ပြော', 'ပြ', 'ပေး', 'ပါ', 'လား', 'မ', 'မ']","['ဈေး', 'ချက်', 'လောက်', 'ပြ', 'မ', 'မ']"
လှတာပဲ သိတယ်ရှင် ပုံလည်းမသွင်းတက်တော့ ဒီတိုင်းပဲ သူများပုံလေးတွေ ဝင်ငမ်းရတာပေါ့,"['လှ', 'တာ', 'ပဲ', 'သိ', 'တယ်', 'ရှင်', 'ပုံ', 'လည်း', 'မ', 'သွင်း', 'တက်', 'တော့', 'ဒီ', 'တိုင်း', 'ပဲ', 'သူ', 'များ', 'ပုံ', 'လေး', 'တွေ', 'ဝင်', 'ငမ်း', 'ရ', 'တာ', 'ပေါ့']","['လှ', 'သိ', 'ရှင်', 'ပုံ', 'မ', 'သွင်း', 'တက်', 'တိုင်း', 'ပုံ', 'ဝင်', 'ငမ်း', 'ပေါ့']"
လှလိုက်တာ လူရောဆံပင်လေးရော,"['လှ', 'လိုက်', 'တာ', 'လူ', 'ရော', 'ဆံပင်', 'လေး', 'ရော']","['လှ', 'လူ', 'ရော', 'ဆံပင်', 'ရော']"
ဆံပင်လေးရော လူလေးရော လှတယ်,"['ဆံပင်', 'လေး', 'ရော', 'လူ', 'လေး', 'ရော', 'လှ', 'တယ်']","['ဆံပင်', 'ရော', 'လူ', 'ရော', 'လှ']"
Hairvenမှာ ဆံပင်​ကောက်တာလည်း အရမ်း​ကောင်းပဲ,"['Hairven', 'မှာ', 'ဆံပင်', '\u200b', 'ကောက်', 'တာ', 'လည်း', 'အရမ်း', '\u200b', 'ကောင်း', 'ပဲ']","['Hairven', 'ဆံပင်', 'ကောက်', 'ကောင်း']"
ကြိုက်တယ် အာ့လိုလေ,"['ကြိုက်', 'တယ်', 'အာ့', 'လို', 'လေ']","['ကြိုက်', 'အာ့']"
ဆိုင် Page Linl လေးပါနော် :,"['ဆိုင်', 'Page', 'Linl', 'လေး', 'ပါ', 'နော်', ':']","['ဆိုင်', 'Page', 'Linl']"
ဘာlipstickလေး ဆိုးထားတာလဲရှင့်,"['ဘာ', 'lip', 'stick', 'လေး', 'ဆိုး', 'ထား', 'တာ', 'လဲ', 'ရှင့်']","['lip', 'stick', 'ဆိုး']"
လှလိုက်တာ လူကော ဆံပင်လေးကော,"['လှ', 'လိုက်', 'တာ', 'လူ', 'ကော', 'ဆံပင်', 'လေး', 'ကော']","['လှ', 'လူ', 'ကော', 'ဆံပင်', 'ကော']"
လှလိုက်တာညီမလေး,"['လှ', 'လိုက်', 'တာ', 'ညီမလေး']","['လှ', 'ညီမလေး']"
လှလိုက်တာ မရယ်,"['လှ', 'လိုက်', 'တာ', 'မ', 'ရယ်']","['လှ', 'မ', 'ရယ်']"
ဘာ shampoo လေးသုံးလည်းရှင့် အရမ်းသဘောကျလို့ပါ,"['ဘာ', 'shampoo', 'လေး', 'သုံး', 'လည်း', 'ရှင့်', 'အရမ်း', 'သဘောကျ', 'လို့', 'ပါ']","['shampoo', 'သုံး', 'ရှင့်', 'သဘောကျ', 'လို့']"
လှလိုက်တာ ဆံပင်လေးရောလူလေးရောပဲ,"['လှ', 'လိုက်', 'တာ', 'ဆံပင်', 'လေး', 'ရော', 'လူ', 'လေး', 'ရော', 'ပဲ']","['လှ', 'ဆံပင်', 'ရော', 'လူ', 'ရော']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ချောလိုက်တာ,"['ချော', 'လိုက်', 'တာ']",['ချော']
အသားအရေကောင်းလိုက်တာ,"['အသားအရေ', 'ကောင်း', 'လိုက်', 'တာ']","['အသားအရေ', 'ကောင်း']"
"အမ ဆိုင်pageရှာမတွေ့လို့ ,linkတချက်ပို့ပေးပါလား ဆိုင်ကရန်ကုန်ကလားရှင့်","['အမ', 'ဆိုင်', 'page', 'ရှာ', 'မ', 'တွေ့', 'လို့', ',', 'link', 'တ', 'ချက်', 'ပို့', 'ပေး', 'ပါ', 'လား', 'ဆိုင်', 'က', 'ရန်ကုန်', 'က', 'လား', 'ရှင့်']","['အမ', 'ဆိုင်', 'page', 'ရှာ', 'မ', 'တွေ့', 'လို့', 'link', 'တ', 'ချက်', 'ပို့', 'ဆိုင်', 'ရန်ကုန်']"
