original_comments,tokenized_comments,clean_text
လှလိုက်တာရှင်,"['လှ', 'လိုက်', 'တာ', 'ရှင်']","['လှ', 'ရှင်']"
C perm ကဘာလဲရှင့်,"['Cperm', 'က', 'ဘာ', 'လဲ', 'ရှင့်']",['Cperm']
လှလိုက်တာ သရင်းလေး,"['လှ', 'လိုက်', 'တာ', 'သ', 'ရင်း', 'လေး']","['လှ', 'သ', 'ရင်း']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ဆံပင်အ​ရောင်ဆိုးတာ​လေး​ရောအဆင်​ပြေလားsis,"['ဆံပင်', 'အ\u200bရောင်', 'ဆိုး', 'တာ', '\u200bလေး\u200b', 'ရော', 'အဆင်\u200bပြေ', 'လား', 's', 'is']","['ဆံပင်', 'အရောင်', 'ဆိုး', 'ရော', 'အဆင်ပြေ', 's', 'is']"
ချစ်စရာလေးဟ,"['ချစ်', 'စရာ', 'လေး', 'ဟ']","['ချစ်', 'စရာ', 'ဟ']"
ချောလိုကိတာ ညီမလေးရေ,"['ချော', 'လို', 'က', 'ိ', 'တာ', 'ညီမလေး', 'ရေ']","['ချော', 'ိ', 'ညီမလေး']"
အမရဲ့ live လေးတွေကြည့်ရင်းထဲက မေးချင်နေတာ ဆံပင်လေးကို သဘောကျနေတာ,"['အမ', 'ရဲ့', 'live', 'လေး', 'တွေ', 'ကြည့်', 'ရင်း', 'ထဲ', 'က', 'မေး', 'ချင်', 'နေ', 'တာ', 'ဆံပင်', 'လေး', 'ကို', 'သဘောကျ', 'နေ', 'တာ']","['အမ', 'live', 'ကြည့်', 'ရင်း', 'မေး', 'ဆံပင်', 'သဘောကျ']"
So pretty,['Sopretty'],['Sopretty']
လူရော ဆံပင်လေးရော သဘောကျလိုက်တာ,"['လူ', 'ရော', 'ဆံပင်', 'လေး', 'ရော', 'သဘောကျ', 'လိုက်', 'တာ']","['လူ', 'ရော', 'ဆံပင်', 'ရော', 'သဘောကျ']"
အမလုပ္ခ်င္သလိုပံုစံေလး,"['အမ', 'လ', 'ုပ္ခ်င္သလိုပံုစံေလး']","['အမ', 'လ', 'ုပ္ခ်င္သလိုပံုစံေလး']"
လှလိုက်တာရှင်,"['လှ', 'လိုက်', 'တာ', 'ရှင်']","['လှ', 'ရှင်']"
လွတယ္​ လိုက္​တယ္​ ဒီဆံပင္​ပံု​ေလးနဲ႔,"['လ', 'ွတယ္\u200bလိုက္\u200bတယ္\u200b', 'ဒီ', 'ဆံပင္\u200bပံု\u200bေလးနဲ႔']","['လ', 'ွတယ္လိုက္တယ္', 'ဆံပင္ပံုေလးနဲ႔']"
ကြည့်အုံး သူ့အလှကိုသဘောကျလိုက်တာ,"['ကြည့်', 'အုံး', 'သူ့', 'အလှ', 'ကို', 'သဘောကျ', 'လိုက်', 'တာ']","['ကြည့်', 'အုံး', 'သူ့', 'အလှ', 'သဘောကျ']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ကိုယ် သွားလုပ်လာတာလဲ တလ ပဲရှိသေးတယ်,"['ကိုယ်', 'သွား', 'လုပ်', 'လာ', 'တာ', 'လဲ', 'တ', 'လ', 'ပဲ', 'ရှိ', 'သေး', 'တယ်']","['ကိုယ်', 'တ', 'လ']"
လှလိုက်တာရှင်,"['လှ', 'လိုက်', 'တာ', 'ရှင်']","['လှ', 'ရှင်']"
ဆိုင်လိပ်စာလေးနဲ့ ဆိုင် pageလေးညွှန်းပါအုံး,"['ဆိုင်', 'လိပ်စာ', 'လေး', 'နဲ့', 'ဆိုင်', 'page', 'လေး', 'ညွှန်း', 'ပါ', 'အုံး']","['ဆိုင်', 'လိပ်စာ', 'ဆိုင်', 'page', 'ညွှန်း', 'အုံး']"
အဲ့လိုထား,"['အဲ့လို', 'ထား']",['အဲ့လို']
Hair style Change တော့မယ်,"['Hairstyle', 'Change', 'တော့', 'မယ်']","['Hairstyle', 'Change']"
ကြိုက်လိုက်တာ အဲ့လိုလေး ပုံကျကျလေးလိုချင်လိုက်တာ ပင်ကိုယ်ဆံပင်က ကြမ်းပြီးဖွာတော့ အဆင်ပြေပါ့မလမသိဘူး,"['ကြိုက်', 'လိုက်', 'တာ', 'အဲ့လို', 'လေး', 'ပုံ', 'ကျ', 'ကျ', 'လေး', 'လို', 'ချင်', 'လိုက်', 'တာ', 'ပင်', 'ကိုယ်', 'ဆံပင်', 'က', 'ကြမ်း', 'ပြီး', 'ဖွာ', 'တော့', 'အဆင်ပြေ', 'ပါ့', 'မ', 'လ', 'မ', 'သိ', 'ဘူး']","['ကြိုက်', 'အဲ့လို', 'ပုံ', 'ကျ', 'ကျ', 'ပင်', 'ကိုယ်', 'ဆံပင်', 'ကြမ်း', 'ဖွာ', 'အဆင်ပြေ', 'ပါ့', 'မ', 'လ', 'မ', 'သိ']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
အမရယ် ရုပ်လဲချော အသားရည်လဲလှ ဆံပင်လဲကောင်း ဘုရားပေးတဲ့ကံပဲ,"['အမ', 'ရယ်', 'ရုပ်', 'လဲ', 'ချော', 'အသားရည်', 'လဲ', 'လှ', 'ဆံပင်', 'လဲ', 'ကောင်း', 'ဘုရား', 'ပေး', 'တဲ့', 'ကံ', 'ပဲ']","['အမ', 'ရယ်', 'ရုပ်', 'ချော', 'အသားရည်', 'လှ', 'ဆံပင်', 'ကောင်း', 'ဘုရား', 'ကံ']"
Skin care လေးရှယ်လ်​ပေးပါဦး,"['Skincare', 'လေး', 'ရှယ်', 'လ်', '\u200b', 'ပေး', 'ပါ', 'ဦး']","['Skincare', 'ရှယ်', 'လ်', 'ဦး']"
လှလိုက်တာ မမရေ,"['လှ', 'လိုက်', 'တာ', 'မ', 'မ', 'ရေ']","['လှ', 'မ', 'မ']"
အဲ့ဆိုင်ကဆရာမဝါမျိုးနဲ့အမြဲလုပ်နေကြ၊,"['အဲ့', 'ဆိုင်', 'က', 'ဆရာ', 'မ', 'ဝါ', 'မျိုး', 'နဲ့', 'အမြဲ', 'လုပ်', 'နေ', 'ကြ', '၊']","['အဲ့', 'ဆိုင်', 'ဆရာ', 'မ', 'ဝါ', 'မျိုး', 'အမြဲ', '၊']"
အဲ့လိုလေးသဘောကျတယ်,"['အဲ့လို', 'လေး', 'သဘောကျ', 'တယ်']","['အဲ့လို', 'သဘောကျ']"
ဘုရားပေးတဲ့ဆုပါပဲ,"['ဘုရား', 'ပေး', 'တဲ့', 'ဆု', 'ပါ', 'ပဲ']","['ဘုရား', 'ဆု']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
မလန် ဘူးလားရှင့်,"['မ', 'လန်', 'ဘူး', 'လား', 'ရှင့်']","['မ', 'လန်']"
ဆုတောင်းကောင်းလိုက်တာအမရယ်,"['ဆုတောင်း', 'ကောင်း', 'လိုက်', 'တာ', 'အမ', 'ရယ်']","['ဆုတောင်း', 'ကောင်း', 'အမ', 'ရယ်']"
ဟုတ်ပကြိုက်လိုက်တာ,"['ဟုတ်', 'ပ', 'ကြိုက်', 'လိုက်', 'တာ']","['ပ', 'ကြိုက်']"
ပုံလေးကျပြီးလှလိုက်တာ  rebound နဲ့ c permကိုဘယ်လောက်ကျလဲ မ,"['ပုံ', 'လေး', 'ကျ', 'ပြီး', 'လှ', 'လိုက်', 'တာ', 'reboundနဲ့cperm', 'ကို', 'ဘယ်လောက်', 'ကျ', 'လဲ', 'မ']","['ပုံ', 'ကျ', 'လှ', 'rebound', 'နဲ့cperm', 'ဘယ်လောက်', 'ကျ', 'မ']"
ကိုတေအဲ့လိုညှပ်ခိုင်းတာ ဘေးနှစ်ဖက်ကိုလန်လန်လေးလို့ပြောတာကို တဖက်ထဲလန်လန်ကြီးလုပ်ပစ်တာ အောက်တေလဲအတွင်းထိကောက်ပစ်တာ ရှေ့မျက်နှာကကြည့်ရင်ဂျူမုံနောက်ကကြည့်ရင်ဂျူမုံအခြောက်မကေ,"['ကို', 'တေ', 'အဲ့လို', 'ညှပ်', 'ခိုင်း', 'တာ', 'ဘေး', 'နှစ်', 'ဖက်', 'ကို', 'လန်လန်', 'လေး', 'လို့', 'ပြော', 'တာ', 'ကို', 'တဖက်', 'ထဲ', 'လန်လန်', 'ကြီး', 'လုပ်', 'ပစ်', 'တာ', 'အောက်', 'တေ', 'လဲ', 'အတွင်း', 'ထိ', 'ကောက်', 'ပစ်', 'တာ', 'ရှေ့', 'မျက်နှာ', 'က', 'ကြည့်', 'ရင်', 'ဂျူမုံ', 'နောက်', 'က', 'ကြည့်', 'ရင်', 'ဂျူမုံ', 'အခြောက်', 'မ', 'ကေ']","['တေ', 'အဲ့လို', 'ညှပ်', 'ခိုင်း', 'ဘေး', 'ဖက်', 'လန်လန်', 'လို့', 'တဖက်', 'လန်လန်', 'ပစ်', 'အောက်', 'တေ', 'အတွင်း', 'ထိ', 'ကောက်', 'ပစ်', 'ရှေ့', 'မျက်နှာ', 'ကြည့်', 'ဂျူမုံ', 'ကြည့်', 'ဂျူမုံ', 'အခြောက်', 'မ', 'ကေ']"
ကိုယ့်အစ်မတွေ ညီမတွေမျက်စိလျင်ချက် မျက်ရစ်တိပ်ကပ်ထားတာလေးပါ မြင်ကြတာတော့,"['ကိုယ့်', 'အစ်မ', 'တွေ', 'ညီ', 'မ', 'တွေ', 'မျက်စိလျင်', 'ချက်', 'မျက်ရစ်', 'တိပ်', 'ကပ်', 'ထား', 'တာ', 'လေး', 'ပါ', 'မြင်', 'ကြ', 'တာ', 'တော့']","['ကိုယ့်', 'အစ်မ', 'ညီ', 'မ', 'မျက်စိလျင်', 'ချက်', 'မျက်ရစ်', 'တိပ်', 'ကပ်', 'မြင်']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
လူလေးကလဲနဂိုလှကိုး,"['လူ', 'လေး', 'က', 'လဲ', 'နဂို', 'လှ', 'ကိုး']","['လူ', 'နဂို', 'လှ', 'ကိုး']"
So pretty,['Sopretty'],['Sopretty']
ကိုယ်လဲ Hairven သွားပြီးကတည်းကဘယ်ဆိုင်မှခြေဦးမလှည့်တော့တာ၃နှစ်ကျော်ပီ ဆိုင်ကအစ်မတွေကစေတနာတကယ်ပါတာ ကိုယ်လဲသူငယ်ချင်းတွေလာမေးရင်အဲ့ပဲညွှန်းပေးမိတယ်,"['ကိုယ်', 'လဲ', 'Hairven', 'သွား', 'ပြီး', 'က', 'တည်း', 'က', 'ဘယ်', 'ဆိုင်', 'မှ', 'ခြေ', 'ဦး', 'မ', 'လှည့်', 'တော့', 'တာ', '၃', 'နှစ်', 'ကျော်', 'ပီ', 'ဆိုင်', 'က', 'အစ်မ', 'တွေ', 'က', 'စေတနာ', 'တကယ်', 'ပါ', 'တာ', 'ကိုယ်', 'လဲ', 'သူငယ်ချင်း', 'တွေ', 'လာ', 'မေး', 'ရင်', 'အဲ့', 'ပဲ', 'ညွှန်း', 'ပေး', 'မိ', 'တယ်']","['ကိုယ်', 'Hairven', 'တည်း', 'ဘယ်', 'ဆိုင်', 'ခြေ', 'မ', 'လှည့်', '၃', 'ကျော်', 'ပီ', 'ဆိုင်', 'အစ်မ', 'စေတနာ', 'တကယ်', 'ကိုယ်', 'သူငယ်ချင်း', 'မေး', 'အဲ့', 'ညွှန်း']"
ဆိုင်လိပ်စာလေး ပြောပေးလို့ရလားရှင်ြ,"['ဆိုင်', 'လိပ်စာ', 'လေး', 'ပြော', 'ပေး', 'လို့', 'ရ', 'လား', 'ရှင်', 'ြ']","['ဆိုင်', 'လိပ်စာ', 'လို့', 'ရှင်', 'ြ']"
အဲ့လိုဆိုင်မျိုးလေးရှာနေတာ ကျေးဇူးနော်,"['အဲ့လို', 'ဆိုင်', 'မျိုး', 'လေး', 'ရှာ', 'နေ', 'တာ', 'ကျေးဇူး', 'နော်']","['အဲ့လို', 'ဆိုင်', 'မျိုး', 'ရှာ', 'ကျေးဇူး']"
ကြိုက်လို့မနက်ကတွေ့ကတည်းကsave ထားတာ အဲ့လိုလေးလုပ်ရအောင်လို့,"['ကြိုက်', 'လို့', 'မနက်', 'က', 'တွေ့', 'က', 'တည်း', 'က', 'save', 'ထား', 'တာ', 'အဲ့လို', 'လေး', 'လုပ်', 'ရ', 'အောင်', 'လို့']","['ကြိုက်', 'လို့', 'မနက်', 'တွေ့', 'တည်း', 'save', 'အဲ့လို', 'လို့']"
C permလေးလုပ်တာကောဘယ်လောက်ပေးရလဲဟင်,"['Cperm', 'လေး', 'လုပ်', 'တာ', 'ကော', 'ဘယ်လောက်', 'ပေး', 'ရ', 'လဲ', 'ဟင်']","['Cperm', 'ကော', 'ဘယ်လောက်']"
လှလိုက်တာ တအား,"['လှ', 'လိုက်', 'တာ', 'တအား']","['လှ', 'တအား']"
လှလို့,"['လှ', 'လို့']","['လှ', 'လို့']"
ဆံပင်ပုံကျကျလေးနဲ့ ဆံပင်နဂိုဖြောင့်တေဆို  အားကျသောပါပဲ,"['ဆံပင်', 'ပုံ', 'ကျ', 'ကျ', 'လေး', 'နဲ့', 'ဆံပင်', 'နဂို', 'ဖြောင့်', 'တေ', 'ဆို', 'အား', 'ကျ', 'သော', 'ပါ', 'ပဲ']","['ဆံပင်', 'ပုံ', 'ကျ', 'ကျ', 'ဆံပင်', 'နဂို', 'ဖြောင့်', 'တေ', 'အား', 'ကျ']"
မရေ အဲ့ c permလေးက ရှေ့ကဆံပင်ကိုပဲလုပ်တာလားဟင်,"['မ', 'ရေ', 'အဲ့', 'cperm', 'လေး', 'က', 'ရှေ့', 'က', 'ဆံပင်', 'ကို', 'ပဲ', 'လုပ်', 'တာ', 'လား', 'ဟင်']","['မ', 'အဲ့', 'cperm', 'ရှေ့', 'ဆံပင်']"
မန်းလေးမှာဆံပင်ဆိုင်ဘယ်ဆိုင်ကောင်းလဲရှင့်,"['မန်း', 'လေး', 'မှာ', 'ဆံပင်', 'ဆိုင်', 'ဘယ်', 'ဆိုင်', 'ကောင်း', 'လဲ', 'ရှင့်']","['မန်း', 'ဆံပင်', 'ဆိုင်', 'ဘယ်', 'ဆိုင်', 'ကောင်း']"
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
လှလိုက်တာ,"['လှ', 'လိုက်', 'တာ']",['လှ']
ဆံပင် ပုံသွင်းတာကျ ဘာနဲ့သွင်းလဲစင်,"['ဆံပင်', 'ပုံ', 'သွင်း', 'တာ', 'ကျ', 'ဘာ', 'နဲ့', 'သွင်း', 'လဲ', 'စင်']","['ဆံပင်', 'ပုံ', 'သွင်း', 'ကျ', 'သွင်း', 'စင်']"
အဲ့လိုဆံပင်လေးကိုဘယ်လိုဖီးရမလဲမမရေ,"['အဲ့လို', 'ဆံပင်', 'လေး', 'ကို', 'ဘယ်လို', 'ဖီး', 'ရ', 'မ', 'လဲ', 'မ', 'မ', 'ရေ']","['အဲ့လို', 'ဆံပင်', 'ဘယ်လို', 'ဖီး', 'မ', 'မ', 'မ']"
Digital permလုပ်ပီးမကြိုက်လို့ rebound ပြန်လုပ်ချင်တာ ဘလောက်လောက်စောင့်ရမလဲ မမရေ,"['Digital', 'per', 'm', 'လုပ်', 'ပီး', 'မ', 'ကြိုက်', 'လို့', 'rebound', 'ပြန်', 'လုပ်', 'ချင်', 'တာ', 'ဘလောက်', 'လောက်', 'စောင့်', 'ရ', 'မ', 'လဲ', 'မ', 'မ', 'ရေ']","['Digital', 'per', 'm', 'ပီး', 'မ', 'ကြိုက်', 'လို့', 'rebound', 'ဘလောက်', 'လောက်', 'စောင့်', 'မ', 'မ', 'မ']"
အနီရဲရဲစိုစိုေလးဆိုဘယ္no.ဝယ္ရမလဲဟင္ reviewsေကာင္းလြန္းလို႔စမ္းသံုးၾကည့္မလို႔,"['အနီ', 'ရဲ', 'ရဲ', 'စိုစို', 'ေလးဆိုဘယ္no.ဝယ္', 'ရ', 'မ', 'လဲ', 'ဟ', 'င္reviewsေကာင္းလြန္း', 'လို', '႔စမ္းသံုးၾကည့္', 'မ', 'လို႔']","['အနီ', 'ရဲ', 'ရဲ', 'စိုစို', 'ေလးဆိုဘယ္noဝယ္', 'မ', 'ဟ', 'င္reviewsေကာင္းလြန္း', '႔စမ္းသံုးၾကည့္', 'မ', 'လို႔']"
In-stock ရနိုင်မယ့်pageလေးသိရင်ပြောပေးကြပါဦးရှင့်,"['In', '-', 'stock', 'ရ', 'နိုင်', 'မယ့်', 'page', 'လေး', 'သိ', 'ရင်', 'ပြော', 'ပေး', 'ကြ', 'ပါ', 'ဦး', 'ရှင့်']","['In', '-', 'stock', 'မယ့်', 'page', 'သိ', 'ရှင့်']"
ဟုတ်ပါ့တကယ့်ကို စွဲသွားတာ,"['ဟုတ်', 'ပါ့', 'တကယ့်', 'ကို', 'စွဲ', 'သွား', 'တာ']","['ပါ့', 'တကယ့်', 'စွဲ']"
တကယ်ကောင်းသောနော် နူးညံအိစက် ကိုယ့်အသဲစွဲပဲ,"['တကယ်', 'ကောင်း', 'သော', 'နော်', 'နူးညံ', 'အိစက်', 'ကိုယ့်', 'အသဲစွဲ', 'ပဲ']","['တကယ်', 'ကောင်း', 'နူးညံ', 'အိစက်', 'ကိုယ့်', 'အသဲစွဲ']"
အဲ့ဒီ tintတွေတော့မသိဖူး romand zero matt ကတော့ kissproof လုံးဝဖြစ်ဖူးနော် ၂/၃မိနစ်လောက်ဆို ပျက်ပီ,"['အဲ့ဒီ', 'tint', 'တွေ', 'တော့', 'မ', 'သိ', 'ဖူး', 'romandzeromatt', 'က', 'တော့', 'kissproof', 'လုံးဝ', 'ဖြစ်', 'ဖူး', 'နော်', '၂', '/', '၃', 'မိနစ်', 'လောက်', 'ဆို', 'ပျက်', 'ပီ']","['အဲ့ဒီ', 'tint', 'မ', 'သိ', 'ဖူး', 'romandzeromatt', 'kissproof', 'လုံးဝ', 'ဖူး', '၂', '/', '၃', 'မိနစ်', 'လောက်', 'ပျက်', 'ပီ']"
သူ့လဲဝယ်ပြီးရော Periperaကိုမဆိုးဖြစ်တော့ဘူး,"['သူ့', 'လဲ', 'ဝယ်', 'ပြီး', 'ရော', 'Peripera', 'ကို', 'မ', 'ဆိုး', 'ဖြစ်', 'တော့', 'ဘူး']","['သူ့', 'ဝယ်', 'ရော', 'Peripera', 'မ', 'ဆိုး']"
Blur tint တစ်ချောင်းတည်းနဲ့တင် romand fanဖြစ်သွားတာ,"['Blurtint', 'တစ်', 'ချောင်း', 'တည်း', 'နဲ့', 'တင်', 'romandfan', 'ဖြစ်', 'သွား', 'တာ']","['Blurtint', 'ချောင်း', 'တည်း', 'တင်', 'romandfan']"
ဒါလေးရောကောင်းလားရှင့်,"['ဒါ', 'လေး', 'ရော', 'ကောင်း', 'လား', 'ရှင့်']","['ဒါ', 'ရော', 'ကောင်း']"
တကယ်ကောင်းတာပါ မ ရေ...ညီမလေး လည်း အရမ်းကြိုက်..ကာလထွက် အရမ်းကောင်း...ဆိုးဖူးသမျှတွေထဲ အကြိုက်ဆုံး မို့ အခုရက်ပိုင်း ဒါပဲဆိုးနေမိ...no(18)...ညီမ က မန်းလေး ကဆိုတော့ ရီရှင်း မှာ ရှိတဲ့ counter ကနေ  ဝယ်ခဲ့တာပါ,"['တကယ်', 'ကောင်း', 'တာ', 'ပါ', 'မ', 'ရေ', '...', 'ညီမလေး', 'လည်း', 'အရမ်း', 'ကြိုက်', '..', 'ကာလ', 'ထွက်', 'အရမ်း', 'ကောင်း', '...', 'ဆိုး', 'ဖူး', 'သမျှ', 'တွေ', 'ထဲ', 'အကြိုက်ဆုံး', 'မို့', 'အခု', 'ရက်', 'ပိုင်း', 'ဒါ', 'ပဲ', 'ဆိုး', 'နေ', 'မိ', '...', 'no(18', ')', '...', 'ညီ', 'မ', 'က', 'မန်း', 'လေး', 'က', 'ဆို', 'တော့', 'ရီရှင်း', 'မှာ', 'ရှိ', 'တဲ့', 'counter', 'က', 'နေ', 'ဝယ်', 'ခဲ့', 'တာ', 'ပါ']","['တကယ်', 'ကောင်း', 'မ', 'ညီမလေး', 'ကြိုက်', 'ကာလ', 'ထွက်', 'ကောင်း', 'ဆိုး', 'ဖူး', 'သမျှ', 'အကြိုက်ဆုံး', 'မို့', 'အခု', 'ရက်', 'ပိုင်း', 'ဒါ', 'ဆိုး', 'no18', 'ညီ', 'မ', 'မန်း', 'ရီရှင်း', 'counter', 'ဝယ်']"
Blur tintေလးေတာ့ႀကိဳက္တယ္ ညီမက1ေလး၀ယ္ထားတာကိုယ္လည္းလူမမာနွုတ္ခမ္းဆိုေတာ့၀ယ္ၿပ္ီးမွအေရာင္ေဖ်ာ့ၿပီးမလိုက္မွာစိုးေနတာ juicy tintေလးဘယ္ကေနမွာရင္အဆင္ေျပမလဲမသိဘူး,"['Blurtintေလးေတာ့ႀကိဳ', 'က', '္တယ္ညီမက1ေလး၀ယ္', 'ထား', 'တာ', 'ကို', 'ယ္လည္းလူမမာနွုတ္ခမ္း', 'ဆို', 'ေတာ့၀ယ္ၿပ္ီး', 'မ', 'ွအေရာင္ေဖ်ာ့ၿပီး', 'မ', 'လို', 'က', '္မွာစိုးေန', 'တာ', 'juicytintေလးဘယ္', 'က', 'ေနမွာရင္အဆင္ေျပ', 'မ', 'လဲ', 'မ', 'သိ', 'ဘူး']","['Blurtintေလးေတာ့ႀကိဳ', '္တယ္ညီမက1ေလး၀ယ္', 'ယ္လည္းလူမမာနွုတ္ခမ္း', 'ေတာ့၀ယ္ၿပ္ီး', 'မ', 'ွအေရာင္ေဖ်ာ့ၿပီး', 'မ', '္မွာစိုးေန', 'juicytintေလးဘယ္', 'ေနမွာရင္အဆင္ေျပ', 'မ', 'မ', 'သိ']"
Zero tint လည်း long last ဖြစ်တယ် ၈နာရီလောက်ခံသလိုပဲ texture ကတော့ ပြောစရာမလို zero tint အကြိုက်ဆုံးလောက်ကျ,"['Zerotint', 'လည်း', 'long', 'last', 'ဖြစ်', 'တယ်', '၈', 'နာရီ', 'လောက်', 'ခံ', 'သလို', 'ပဲ', 'texture', 'က', 'တော့', 'ပြော', 'စရာ', 'မ', 'လို', 'zerotint', 'အကြိုက်ဆုံး', 'လောက်', 'ကျ']","['Zerotint', 'long', 'last', '၈', 'နာရီ', 'လောက်', 'ခံ', 'သလို', 'texture', 'စရာ', 'မ', 'zerotint', 'အကြိုက်ဆုံး', 'လောက်', 'ကျ']"
Juicy lasting ကလေ ၂ချောင်းဝယ်ထားတာ ဆိုးကာစ အရမ်းလှတယ် နောက်ကျ ကာလာက ပြောင်းသွားပီ နှုတ်ခမ်းပြာသလိုလို အရောင်ဖြစ်သွားတာ အမြဲ ဆိုးကာစ အရောင်နဲ့ကိုမတူတော့ဘဲ ခရမ်းဘက်ရောက်ရောက်သွားလို့ ၂ရောင်လုံး အဲလိုဖြစ်လားဟင်,"['Juicylasting', 'က', 'လေ', '၂', 'ချောင်း', 'ဝယ်', 'ထား', 'တာ', 'ဆိုး', 'ကာ', 'စ', 'အရမ်း', 'လှ', 'တယ်', 'နောက်', 'ကျ', 'ကာ', 'လာ', 'က', 'ပြောင်း', 'သွား', 'ပီ', 'နှုတ်ခမ်း', 'ပြာ', 'သလို', 'လို', 'အရောင်', 'ဖြစ်', 'သွား', 'တာ', 'အမြဲ', 'ဆိုး', 'ကာ', 'စ', 'အရောင်', 'နဲ့', 'ကို', 'မ', 'တူ', 'တော့', 'ဘဲ', 'ခရမ်း', 'ဘက်', 'ရောက်', 'ရောက်', 'သွား', 'လို့', '၂', 'ရောင်', 'လုံး', 'အဲ', 'လို', 'ဖြစ်', 'လား', 'ဟင်']","['Juicylasting', '၂', 'ချောင်း', 'ဝယ်', 'ဆိုး', 'ကာ', 'စ', 'လှ', 'ကျ', 'ကာ', 'ပြောင်း', 'ပီ', 'နှုတ်ခမ်း', 'ပြာ', 'သလို', 'အရောင်', 'အမြဲ', 'ဆိုး', 'ကာ', 'စ', 'အရောင်', 'မ', 'တူ', 'ဘဲ', 'ခရမ်း', 'ဘက်', 'လို့', '၂', 'ရောင်', 'လုံး', 'အဲ']"
အနံ့တွေကကောအဆင်ပြေလားဟင်,"['အနံ့', 'တွေ', 'က', 'ကော', 'အဆင်ပြေ', 'လား', 'ဟင်']","['အနံ့', 'ကော', 'အဆင်ပြေ']"
အာ့အရောင်လေး ဘယ်မှာရနိုင်လဲဗျ,"['အာ့', 'အရောင်', 'လေး', 'ဘယ်', 'မှာ', 'ရ', 'နိုင်', 'လဲ', 'ဗျ']","['အာ့', 'အရောင်', 'ဘယ်', 'ဗျ']"
ဒါလေးကော အဆင်ပြေလားရှင့်..... ပြောပြကြပါဦး,"['ဒါ', 'လေး', 'ကော', 'အဆင်ပြေ', 'လား', 'ရှင့်', '...', '..', 'ပြော', 'ပြ', 'ကြ', 'ပါ', 'ဦး']","['ဒါ', 'ကော', 'အဆင်ပြေ', 'ပြ']"
Romand ဆိုးပီး တခြားနှုတ်ခမ်းနီမတိုးတော့တဲ့ ရောဂါရနေပါပီ  ခုလဲ ဒါလေး တအားလိုချင်နေတာ,"['Rom', 'and', 'ဆိုး', 'ပီး', 'တခြား', 'နှုတ်ခမ်းနီ', 'မ', 'တိုး', 'တော့', 'တဲ့', 'ရောဂါ', 'ရ', 'နေ', 'ပါ', 'ပီ', 'ခု', 'လဲ', 'ဒါ', 'လေး', 'တအား', 'လို', 'ချင်', 'နေ', 'တာ']","['Rom', 'and', 'ဆိုး', 'ပီး', 'တခြား', 'နှုတ်ခမ်းနီ', 'မ', 'တိုး', 'ရောဂါ', 'ပီ', 'ဒါ', 'တအား']"
